in s,C1 in V
-2.99998E-04,-3.037E-01
-2.99993E-04,-2.842E-01
-2.99988E-04,-3.037E-01
-2.99983E-04,-2.549E-01
-2.99978E-04,-3.135E-01
-2.99972E-04,-2.939E-01
-2.99967E-04,-3.037E-01
-2.99962E-04,-2.256E-01
-2.99957E-04,-2.842E-01
-2.99952E-04,-2.256E-01
-2.99946E-04,-2.646E-01
-2.99941E-04,-2.158E-01
-2.99936E-04,-2.549E-01
-2.99931E-04,-1.865E-01
-2.99926E-04,-2.061E-01
-2.99920E-04,-1.865E-01
-2.99915E-04,-2.158E-01
-2.99910E-04,-1.670E-01
-2.99905E-04,-1.572E-01
-2.99900E-04,-1.182E-01
-2.99894E-04,-1.865E-01
-2.99889E-04,-1.182E-01
-2.99884E-04,-7.910E-02
-2.99879E-04,-5.957E-02
-2.99874E-04,-1.182E-01
-2.99868E-04,-6.934E-02
-2.99863E-04,-6.934E-02
-2.99858E-04,-3.027E-02
-2.99853E-04,-4.980E-02
-2.99848E-04,-1.074E-02
-2.99842E-04,-3.027E-02
-2.99837E-04,3.809E-02
-2.99832E-04,1.855E-02
-2.99827E-04,3.809E-02
-2.99822E-04,5.762E-02
-2.99816E-04,7.715E-02
-2.99811E-04,4.785E-02
-2.99806E-04,7.715E-02
-2.99801E-04,8.691E-02
-2.99796E-04,1.162E-01
-2.99790E-04,7.715E-02
-2.99785E-04,1.064E-01
-2.99780E-04,1.260E-01
-2.99775E-04,1.455E-01
-2.99770E-04,1.064E-01
-2.99764E-04,1.357E-01
-2.99759E-04,1.162E-01
-2.99754E-04,1.748E-01
-2.99749E-04,1.357E-01
-2.99744E-04,1.357E-01
-2.99738E-04,1.455E-01
-2.99733E-04,1.748E-01
-2.99728E-04,1.162E-01
-2.99723E-04,1.357E-01
-2.99718E-04,1.162E-01
-2.99712E-04,1.553E-01
-2.99707E-04,9.668E-02
-2.99702E-04,1.455E-01
-2.99697E-04,1.260E-01
-2.99692E-04,1.650E-01
-2.99686E-04,8.691E-02
-2.99681E-04,9.668E-02
-2.99676E-04,6.738E-02
-2.99671E-04,1.064E-01
-2.99666E-04,3.809E-02
-2.99660E-04,6.738E-02
-2.99655E-04,3.809E-02
-2.99650E-04,7.715E-02
-2.99645E-04,-9.766E-04
-2.99640E-04,8.789E-03
-2.99634E-04,-1.074E-02
-2.99629E-04,2.832E-02
-2.99624E-04,-6.934E-02
-2.99619E-04,-9.766E-04
-2.99614E-04,-4.004E-02
-2.99608E-04,-3.027E-02
-2.99603E-04,-7.910E-02
-2.99598E-04,-7.910E-02
-2.99593E-04,-1.279E-01
-2.99588E-04,-9.863E-02
-2.99582E-04,-1.475E-01
-2.99577E-04,-1.279E-01
-2.99572E-04,-1.475E-01
-2.99567E-04,-1.475E-01
-2.99562E-04,-1.963E-01
-2.99556E-04,-1.768E-01
-2.99551E-04,-1.865E-01
-2.99546E-04,-1.963E-01
-2.99541E-04,-2.256E-01
-2.99536E-04,-2.256E-01
-2.99530E-04,-2.646E-01
-2.99525E-04,-2.256E-01
-2.99520E-04,-3.037E-01
-2.99515E-04,-2.744E-01
-2.99510E-04,-3.037E-01
-2.99504E-04,-2.744E-01
-2.99499E-04,-3.135E-01
-2.99494E-04,-2.842E-01
-2.99489E-04,-3.232E-01
-2.99484E-04,-2.646E-01
-2.99478E-04,-3.135E-01
-2.99473E-04,-3.037E-01
-2.99468E-04,-3.232E-01
-2.99463E-04,-3.135E-01
-2.99458E-04,-3.428E-01
-2.99452E-04,-2.744E-01
-2.99447E-04,-3.037E-01
-2.99442E-04,-2.646E-01
-2.99437E-04,-2.939E-01
-2.99432E-04,-2.939E-01
-2.99426E-04,-3.135E-01
-2.99421E-04,-2.451E-01
-2.99416E-04,-2.744E-01
-2.99411E-04,-2.549E-01
-2.99406E-04,-2.646E-01
-2.99400E-04,-2.158E-01
-2.99395E-04,-2.646E-01
-2.99390E-04,-2.354E-01
-2.99385E-04,-2.354E-01
-2.99380E-04,-1.768E-01
-2.99374E-04,-2.061E-01
-2.99369E-04,-1.475E-01
-2.99364E-04,-1.865E-01
-2.99359E-04,-1.279E-01
